Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
ARIAZ,Q24834268,Jo Ju-eun,조주은,Q80126993,GROUP,Wikidata_P463_P527
ARIAZ,Q24834268,Kang Si-hyeon,강시현,Q80126988,GROUP,Wikidata_P463_P527
ARIAZ,Q24834268,Kim Yun-ji,김윤지,Q80126986,GROUP,Wikidata_P463_P527
ARIAZ,Q24834268,Lee Da-won,이다원,Q80126987,GROUP,Wikidata_P463_P527
ARTMS,Q119692734,Choerry,최리,Q58224261,GROUP,Wikidata_P463_P527
ARTMS,Q119692734,Haseul,하슬,Q57318729,GROUP,Wikidata_P463_P527
ARTMS,Q119692734,Heejin,희진,Q56259179,GROUP,Wikidata_P463_P527
ARTMS,Q119692734,JinSoul,진솔,Q56825122,GROUP,Wikidata_P463_P527
ARTMS,Q119692734,Kim Lip,김립,Q56816418,GROUP,Wikidata_P463_P527
ASTRO,Q4811480,Hiroshi Hasegawa,,Q58226991,GROUP,Wikidata_P463_P527
ASTRO,Q4811480,Rohco,,Q61994801,GROUP,Wikidata_P463_P527
ATBO,Q112972232,Jeong Seung-hwan,정승환,Q119433339,GROUP,Wikidata_P463_P527
ATBO,Q112972232,Kim Yeon-kyu,김연규,Q123157356,GROUP,Wikidata_P463_P527
ATBO,Q112972232,Oh Junseok,오준석,Q115528250,GROUP,Wikidata_P463_P527
ATBO,Q112972232,Won Bin,원빈,Q119432686,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Choi Jong-ho,최종호,Q85884933,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Choi San,최산,Q85879242,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Jeong Yun-ho,정윤호,Q85873722,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Jung Woo-young,우영,Q65054015,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Kang Yeo-sang,강여상,Q85878532,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Kim Hong-joong,김홍중,Q85864418,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Park Seong-hwa,박성화,Q85880867,GROUP,Wikidata_P463_P527
ATEEZ,Q59793088,Song Min-gi,송민기,Q85878823,GROUP,Wikidata_P463_P527
After School,Q389067,E-Young,이영,Q492767,GROUP,Wikidata_P463_P527
After School,Q389067,Kim Jung-ah,정아,Q5249793,GROUP,Wikidata_P463_P527
After School,Q389067,Lee Joo-yeon,주연,Q486942,GROUP,Wikidata_P463_P527
After School,Q389067,Lee Ka-eun,이가은,Q492691,GROUP,Wikidata_P463_P527
After School,Q389067,Nana,나나,Q491515,GROUP,Wikidata_P463_P527
After School,Q389067,Park Kahi,가희,Q488725,GROUP,Wikidata_P463_P527
After School,Q389067,Park Soo-ah,박수아,Q486196,GROUP,Wikidata_P463_P527
After School,Q389067,Raina,레이나,Q596923,GROUP,Wikidata_P463_P527
After School,Q389067,Rebekah Kim,베카,Q7302004,GROUP,Wikidata_P463_P527
After School,Q389067,Uee,유이,Q489006,GROUP,Wikidata_P463_P527
After School,Q389067,Yoo So-young,유소영,Q621380,GROUP,Wikidata_P463_P527
Ailee,Q487391,Ailee,에일리,Q487391,SOLO,Wikidata_Entity
Alice,Q30036738,Do-A,도아,Q64157527,GROUP,Wikidata_P463_P527
Alice,Q30036738,Hyeseong,혜성,Q60161901,GROUP,Wikidata_P463_P527
Alice,Q30036738,Karin,가린,Q54597211,GROUP,Wikidata_P463_P527
Alice,Q30036738,Kim So-hee,김소희,Q30337148,GROUP,Wikidata_P463_P527
Alice,Q30036738,Yukyung,유경,Q57600715,GROUP,Wikidata_P463_P527
Apink,Q483286,Hong Yoo-kyung,홍유경,Q6762473,GROUP,Wikidata_P463_P527
Apink,Q483286,Jeong Eun-ji,정은지,Q487831,GROUP,Wikidata_P463_P527
Apink,Q483286,Kim Nam-joo,김남주,Q4460516,GROUP,Wikidata_P463_P527
Apink,Q483286,Oh Ha-young,오하영,Q4798670,GROUP,Wikidata_P463_P527
Apink,Q483286,Park Cho-rong,박초롱,Q492738,GROUP,Wikidata_P463_P527
Apink,Q483286,Son Na-eun,손나은,Q492666,GROUP,Wikidata_P463_P527
Apink,Q483286,Yoon Bo-mi,윤보미,Q2495400,GROUP,Wikidata_P463_P527
AxMxP,Q133873333,Ha Yoo-joon,하유준,Q133520642,GROUP,Wikidata_P463_P527
B.D.U,Q125230505,Jay Chang,제이창,Q123157317,GROUP,Wikidata_P463_P527
B.O.Y.,Q15939696,The Best of Youth,,Q15939696,SOLO,Wikidata_Entity
B1A4,Q483751,Baro,차선우,Q15703547,GROUP,Wikidata_P463_P527
B1A4,Q483751,CNU,신우,Q11255149,GROUP,Wikidata_P463_P527
B1A4,Q483751,Gongchan,공찬,Q15703559,GROUP,Wikidata_P463_P527
B1A4,Q483751,Jung Jin-young,진영,Q15703515,GROUP,Wikidata_P463_P527
B1A4,Q483751,Sandeul,산들,Q15703533,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Ahyeon,아현,Q123560890,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Asa,아사,Q123554438,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Chiquita,치키타,Q123554441,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Pharita,파리타,Q123554436,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Rami,라미,Q123554439,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Rora,로라,Q123554440,GROUP,Wikidata_P463_P527
BABYMONSTER,Q115967938,Ruka,루카,Q123554435,GROUP,Wikidata_P463_P527
BADKIZ,Q17487159,Jina U,지나유,Q22974994,GROUP,Wikidata_P463_P527
BADKIZ,Q17487159,Lee Eun-ju,은솜,Q60668946,GROUP,Wikidata_P463_P527
BADKIZ,Q17487159,Monika,모니카,Q28698773,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Bit,빛,Q107109290,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Jeon Min-wook,제이민,Q107109704,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Junseo,준서,Q107109745,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Lee Han-gyul,이한결,Q65054605,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Muzin,무진,Q107109162,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Nam Do-hyon,남도현,Q65926316,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Yoo Young-seo,영서,Q100314749,GROUP,Wikidata_P463_P527
BAE173,Q99610002,Yoojun,유준,Q107109485,GROUP,Wikidata_P463_P527
BANG&JUNG&YOO&MOON,Q2883643,Mikel Abrego,,Q956186,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Eunji,은지,Q108261472,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Eunyoung,은영,Q108261160,GROUP,Wikidata_P463_P527
